 method,n,cpu,gpu
"chol inv",1088,0.03,0.01
"chol inv",2112,0.07,0.02
"chol inv",3136,0.14,0.04
"chol inv",4160,0.29,0.07
"chol inv",5184,0.54,0.11
"chol inv",6208,0.87,0.14
"chol inv",7232,1.32,0.20
"chol inv",8256,1.93,0.28
"chol inv",9280,2.67,0.36
"chol inv",10304,3.60,0.49
"LU inv",1088,0.03,0.04
"LU inv",2112,0.17,0.08
"LU inv",3136,0.55,0.12
"LU inv",4160,1.24,0.15
"LU inv",5184,2.42,0.19
"LU inv",6208,3.99,0.25
"LU inv",7232,6.23,0.33
"LU inv",8256,9.19,0.40
"LU inv",9280,13.09,0.49
"LU inv",10304,17.78,0.59
"QR inv",1088,0.08,0.02
"QR inv",2112,0.43,0.07
"QR inv",3136,1.35,0.14
"QR inv",4160,3.12,0.24
"QR inv",5184,5.95,0.34
"QR inv",6208,10.38,0.47
"QR inv",7232,16.34,0.62
"QR inv",8256,23.62,0.76
"QR inv",9280,33.68,0.99
